Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (in),qc,Total Precip (in),qc.1,Avg Sol Rad (Ly/day),qc.2,Avg Vap Pres (mBars),qc.3,Avg Max Air Temp (F),qc.4,Avg Min Air Temp (F),qc.5,Avg Air Temp (F),qc.6,Avg Max Rel Hum (%),qc.7,Avg Min Rel Hum (%),qc.8,Avg Rel Hum (%),qc.9,Avg Dew Point (F),qc.10,Avg Wind Speed (mph),qc.11,Avg Soil Temp (F),qc.12,Year
5,Shafter,San Joaquin Valley,May 2024,7.92, ,0.07,K,703.0,K,12.0,K,85.5,K,52.9,K,69.5,K,81.0,K,27.0,K,49.0, ,49.1, ,4.8,K,77.5,K,2024
5,Shafter,San Joaquin Valley,Jun 2024,3.79,L,0.0, ,717.0,K,14.9,K,96.5,K,62.4,K,79.8,K,73.0, ,24.0, ,42.0,K,54.8,K,4.7,K,87.0,L,2024
5,Shafter,San Joaquin Valley,Jul 2024,,N,0.0,L,695.0,L,17.7,L,104.1,L,69.0,L,86.7,L,70.0,L,22.0,L,41.0,L,59.6,L,4.5,L,93.4,L,2024
5,Shafter,San Joaquin Valley,Aug 2024,,N,0.0, ,626.0, ,15.0, ,98.1,K,63.5, ,80.6,K,74.0, ,22.0, ,42.0,K,55.3,K,4.2,K,91.0,L,2024
5,Shafter,San Joaquin Valley,Sep 2024,,N,0.0,K,520.0,K,14.3,K,94.0,K,60.0, ,76.4,K,76.0,K,25.0,K,46.0, ,54.0, ,4.0,K,87.7,L,2024
5,Shafter,San Joaquin Valley,Oct 2024,,N,0.0, ,401.0,K,12.5, ,85.3,K,52.2,K,67.8,K,81.0, ,28.0, ,53.0,K,49.6,K,3.3,K,75.9,L,2024
5,Shafter,San Joaquin Valley,Nov 2024,,N,1.28, ,275.0,K,8.9,K,65.7,K,38.0,K,50.8, ,92.0, ,46.0, ,70.0,K,41.0,K,3.2,K,62.9,K,2024
5,Shafter,San Joaquin Valley,Dec 2024,,N,0.91, ,209.0, ,10.2,K,61.5, ,38.7, ,48.6, ,99.0, ,64.0, ,88.0,K,45.0,K,3.1,K,54.5, ,2024
5,Shafter,San Joaquin Valley,Jan 2025,,N,0.56, ,293.0,K,7.5, ,62.0,K,31.9, ,45.1, ,95.0, ,45.0, ,74.0, ,36.9, ,3.1, ,50.4, ,2025
6,Davis,Sacramento Valley,Jan 2024,1.14, ,3.61, ,163.0,K,10.7,K,57.7,K,43.4,K,50.1,K,95.0, ,69.0, ,85.0,K,45.6,K,4.8, ,51.2, ,2024
6,Davis,Sacramento Valley,Feb 2024,1.96, ,5.47, ,275.0,K,10.3, ,60.4, ,43.0, ,50.8, ,96.0, ,61.0, ,81.0, ,45.2, ,5.1, ,51.9, ,2024
6,Davis,Sacramento Valley,Mar 2024,3.55, ,1.6, ,380.0,K,10.1, ,64.9, ,45.0, ,53.9, ,90.0, ,51.0, ,72.0, ,44.5, ,6.0,K,54.0, ,2024
6,Davis,Sacramento Valley,Apr 2024,5.14, ,0.65, ,526.0,K,11.0, ,72.7,K,46.6, ,59.1,K,89.0, ,42.0, ,64.0,K,46.6,K,4.7, ,57.5, ,2024
6,Davis,Sacramento Valley,May 2024,8.06, ,0.43,K,644.0,K,11.2,K,82.9,K,51.8,K,67.0,K,80.0,K,30.0,K,50.0, ,46.8, ,6.5,K,65.0,K,2024
6,Davis,Sacramento Valley,Jun 2024,8.49, ,0.01, ,673.0, ,14.0,K,91.2, ,56.0, ,73.8,K,84.0, ,29.0, ,49.0,K,53.2,K,5.6, ,71.6, ,2024
6,Davis,Sacramento Valley,Jul 2024,8.64,K,0.0, ,648.0, ,15.9,K,97.7,K,58.6,L,78.5,K,86.0,K,26.0,K,50.0,L,57.3,L,5.1,K,73.6, ,2024
6,Davis,Sacramento Valley,Aug 2024,7.18, ,0.0, ,581.0,K,14.6, ,91.5,K,56.1,K,73.7,K,92.0, ,29.0, ,52.0,K,54.6,K,4.8,K,71.3, ,2024
6,Davis,Sacramento Valley,Sep 2024,5.6, ,0.0,K,477.0,K,13.2,K,90.6,K,53.5, ,71.4,K,90.0,K,27.0,K,51.0, ,51.8, ,4.3,K,67.3,K,2024
6,Davis,Sacramento Valley,Oct 2024,4.5, ,0.0, ,351.0, ,10.8, ,83.4,K,50.4, ,66.9,K,82.0, ,29.0, ,49.0,K,45.7,K,4.8,K,62.8, ,2024
6,Davis,Sacramento Valley,Nov 2024,2.12, ,4.01, ,214.0,K,8.9, ,63.1, ,41.2, ,51.7, ,88.0, ,47.0, ,68.0, ,40.6, ,5.4,K,53.4, ,2024
6,Davis,Sacramento Valley,Dec 2024,1.15, ,3.42, ,156.0, ,10.2,K,58.1,K,41.8,K,49.3,K,97.0, ,68.0, ,85.0,K,44.7,K,4.9, ,50.9, ,2024
6,Davis,Sacramento Valley,Jan 2025,2.5, ,0.44, ,235.0, ,7.5, ,60.2,K,37.3, ,48.0,K,88.0, ,46.0, ,66.0,K,36.4,K,5.9,K,48.7, ,2025
7,Firebaugh/Telles,San Joaquin Valley,Jan 2024,,N,1.39,K,94.0, ,10.5, ,58.4,K,42.9,K,50.2,K,95.0, ,67.0, ,84.0,K,45.2,K,3.2, ,49.3, ,2024
7,Firebaugh/Telles,San Joaquin Valley,Feb 2024,1.24,L,2.39, ,230.0, ,10.6, ,61.8, ,43.3,K,51.9, ,95.0, ,60.0, ,80.0, ,45.8, ,3.6,K,52.1, ,2024
7,Firebaugh/Telles,San Joaquin Valley,Mar 2024,3.78, ,1.11, ,426.0,K,10.0, ,68.3, ,44.2, ,55.7, ,90.0, ,44.0, ,66.0, ,44.2, ,3.6,K,59.0, ,2024
7,Firebaugh/Telles,San Joaquin Valley,Apr 2024,5.29, ,0.64, ,551.0, ,10.7, ,75.3, ,46.1,K,60.6, ,87.0, ,38.0, ,60.0, ,46.1, ,3.6, ,64.9, ,2024
7,Firebaugh/Telles,San Joaquin Valley,May 2024,7.56, ,0.73,K,680.0,K,10.5,K,84.7,K,50.8,K,68.4,K,75.0,K,27.0,K,45.0,K,45.6,K,3.8,K,70.0,K,2024
7,Firebaugh/Telles,San Joaquin Valley,Jun 2024,8.35, ,0.04, ,702.0,K,12.6,K,94.2,K,60.6,K,77.9,K,63.0, ,24.0, ,39.0,K,50.3,K,3.7, ,76.0,K,2024
7,Firebaugh/Telles,San Joaquin Valley,Jul 2024,8.52,K,0.0, ,657.0, ,15.6, ,101.8,K,66.3,K,83.6,K,64.0, ,24.0, ,40.0,K,56.5,K,3.3, ,80.0,K,2024
7,Firebaugh/Telles,San Joaquin Valley,Aug 2024,7.41, ,0.0, ,599.0,K,14.1, ,95.9,K,62.6, ,79.0,K,68.0, ,25.0, ,42.0,K,53.7,K,3.3, ,77.0, ,2024
7,Firebaugh/Telles,San Joaquin Valley,Sep 2024,5.66, ,0.04,K,494.0,K,13.2,K,92.5,K,57.9, ,75.0,K,73.0,K,26.0,K,45.0,K,51.8,K,3.0,K,74.4,K,2024
7,Firebaugh/Telles,San Joaquin Valley,Oct 2024,4.07, ,0.24,K,326.0,K,10.8,K,84.4,K,51.4,K,68.3,K,74.0,K,29.0,K,46.0,K,45.7,K,2.9,K,66.6,K,2024
7,Firebaugh/Telles,San Joaquin Valley,Nov 2024,1.21, ,1.31, ,117.0, ,8.5, ,64.3,K,40.5,K,52.0, ,85.0, ,45.0, ,65.0, ,39.7, ,3.0, ,51.6,K,2024
7,Firebaugh/Telles,San Joaquin Valley,Dec 2024,0.4, ,0.82, ,70.0, ,10.1,K,58.5,K,40.1, ,48.9, ,95.0, ,68.0, ,85.0,K,44.6,K,2.8,K,49.2, ,2024
7,Firebaugh/Telles,San Joaquin Valley,Jan 2025,0.09,L,0.28, ,82.0, ,7.4, ,60.0, ,33.5, ,46.1, ,89.0, ,47.0, ,69.0, ,36.4, ,2.6, ,43.4,K,2025
12,Durham,Sacramento Valley,Jan 2024,1.03, ,4.27, ,164.0,K,10.4, ,57.8,K,40.9, ,48.9,K,98.0, ,65.0, ,86.0,K,44.9,K,3.2, ,49.8, ,2024
12,Durham,Sacramento Valley,Feb 2024,1.86, ,5.69, ,274.0,K,9.7, ,60.5, ,41.0, ,49.9, ,97.0, ,56.0, ,79.0, ,43.3, ,4.0, ,51.2, ,2024
12,Durham,Sacramento Valley,Mar 2024,3.12, ,2.41, ,362.0,K,9.8, ,64.1, ,43.8, ,53.4, ,93.0, ,48.0, ,71.0, ,43.6, ,4.3, ,54.2, ,2024
12,Durham,Sacramento Valley,Apr 2024,4.62, ,1.11, ,500.0,K,11.2, ,73.2,K,45.7, ,58.9,K,96.0, ,39.0, ,65.0,K,46.9,K,3.1, ,61.5, ,2024
12,Durham,Sacramento Valley,May 2024,6.54, ,0.99,K,575.0,K,12.3,K,83.0, ,52.0, ,67.5,K,87.0,K,32.0,K,54.0,K,49.2,K,3.8,K,69.2,K,2024
12,Durham,Sacramento Valley,Jun 2024,6.54,K,0.0, ,559.0, ,16.3, ,91.1, ,59.4, ,75.5, ,87.0, ,33.0, ,54.0, ,57.1, ,2.9, ,73.7, ,2024
12,Durham,Sacramento Valley,Jul 2024,6.89,K,0.0, ,562.0,K,19.1,K,98.2,K,63.4,K,80.5,K,88.0, ,30.0, ,54.0,K,61.8,K,2.5, ,78.9, ,2024
12,Durham,Sacramento Valley,Aug 2024,5.86,K,0.08, ,512.0, ,16.6, ,91.9,K,58.4,K,74.4,K,90.0, ,32.0, ,57.0,K,58.1,K,2.5, ,74.3, ,2024
12,Durham,Sacramento Valley,Sep 2024,4.52,K,0.0,K,435.0,K,14.8,K,90.9, ,54.9, ,71.0,K,91.0,K,30.0,K,58.0,K,55.1,K,2.2,K,72.3,K,2024
12,Durham,Sacramento Valley,Oct 2024,3.24,K,0.06, ,302.0,K,11.2, ,83.4,K,49.6, ,64.5,K,87.0, ,28.0, ,54.0,K,46.8,K,2.7, ,66.5, ,2024
12,Durham,Sacramento Valley,Nov 2024,1.63,K,8.48,K,208.0,K,8.8,K,62.6, ,39.3, ,49.8, ,95.0, ,45.0, ,72.0,K,40.6,K,3.3, ,54.6, ,2024
12,Durham,Sacramento Valley,Dec 2024,0.93, ,4.3,K,142.0,K,9.9,K,58.0, ,40.0,K,48.2,K,98.0, ,66.0, ,85.0,K,43.7,K,3.3, ,49.5,K,2024
12,Durham,Sacramento Valley,Jan 2025,1.97,K,0.7, ,227.0,K,7.0, ,61.0,K,35.1, ,47.0, ,90.0, ,40.0, ,64.0, ,34.3, ,3.4, ,46.9, ,2025
13,Camino,Sierra Foothill,Jan 2024,1.38, ,6.02,K,169.0, ,8.1, ,53.9, ,40.2,K,46.0,K,92.0, ,58.0, ,76.0,K,38.5,K,5.7,K,47.2, ,2024
13,Camino,Sierra Foothill,Feb 2024,1.77, ,8.43, ,227.0, ,7.8, ,53.4, ,39.5, ,45.5, ,91.0, ,60.0, ,76.0, ,37.8, ,6.1,K,47.1, ,2024
13,Camino,Sierra Foothill,Mar 2024,2.96, ,6.81, ,337.0, ,7.9,K,56.3, ,40.1, ,47.5, ,87.0, ,57.0, ,72.0,K,38.1,K,5.8,K,47.6, ,2024
13,Camino,Sierra Foothill,Apr 2024,4.91, ,1.57, ,499.0, ,11.1,K,71.3,L,47.8,K,58.4,K,85.0, ,52.0, ,67.0,K,46.6,K,5.1, ,53.8, ,2024
13,Camino,Sierra Foothill,May 2024,7.89, ,1.62,K,673.0,K,12.1,K,83.4,L,57.4,K,69.2,K,69.0,K,35.0,K,49.0,L,47.6,L,5.9,K,59.8,K,2024
13,Camino,Sierra Foothill,Jun 2024,8.95, ,0.0, ,698.0, ,14.0,K,96.2,L,66.8,K,79.8,K,59.0,K,26.0,K,40.0,L,52.3,L,5.3, ,69.0, ,2024
13,Camino,Sierra Foothill,Jul 2024,9.91,K,0.0, ,670.0, ,13.8,K,102.2,L,75.1,K,88.3,K,46.0,K,19.0,K,30.0,L,52.3,L,5.4, ,76.3, ,2024
13,Camino,Sierra Foothill,Aug 2024,8.47,K,0.2, ,595.0, ,11.2, ,91.7,K,67.5,K,78.8,K,54.0, ,22.0, ,35.0,K,47.3,K,5.9,K,74.8, ,2024
13,Camino,Sierra Foothill,Sep 2024,6.91, ,0.0,K,498.0,K,10.7,K,92.3,K,65.5,K,77.1,K,52.0,K,24.0,K,35.0,K,46.1,K,5.7,K,71.4,K,2024
13,Camino,Sierra Foothill,Oct 2024,5.09,K,0.28, ,377.0,K,8.1,K,80.3,L,58.4,K,68.2,K,51.0,K,23.0,K,37.0,K,37.8,K,5.6, ,66.3, ,2024
13,Camino,Sierra Foothill,Nov 2024,2.0, ,4.13,K,216.0, ,6.3, ,56.4, ,39.7, ,47.4, ,76.0, ,41.0, ,58.0, ,32.0, ,5.5,K,53.5, ,2024
13,Camino,Sierra Foothill,Dec 2024,1.61, ,2.56,K,171.0, ,7.5,K,59.4,K,42.6, ,49.5, ,80.0, ,43.0, ,64.0,K,36.3,K,5.9,K,49.4, ,2024
13,Camino,Sierra Foothill,Jan 2025,2.2, ,2.47, ,249.0,K,5.1, ,57.2, ,39.2, ,47.3, ,65.0, ,31.0, ,47.0, ,26.2, ,4.8, ,46.2, ,2025
15,Stratford,San Joaquin Valley,Jan 2024,1.31,K,1.02, ,192.0,K,10.5, ,58.9,K,40.6, ,49.0,K,98.0, ,67.0, ,87.0,K,45.2,K,3.4, ,54.3,K,2024
15,Stratford,San Joaquin Valley,Feb 2024,2.02,K,2.11, ,290.0, ,10.9, ,62.6, ,41.6, ,51.6, ,99.0, ,60.0, ,83.0, ,46.5, ,3.2,K,55.1, ,2024
15,Stratford,San Joaquin Valley,Mar 2024,3.87,K,1.03, ,445.0,K,10.0, ,69.0, ,42.5, ,55.5, ,93.0, ,43.0, ,67.0, ,44.5, ,3.4, ,56.4, ,2024
15,Stratford,San Joaquin Valley,Apr 2024,5.32,K,1.12, ,564.0,K,11.0,K,76.0, ,45.6,K,60.9,K,89.0, ,36.0, ,60.0,K,46.6,K,3.7, ,59.8, ,2024
15,Stratford,San Joaquin Valley,May 2024,7.14,K,0.14, ,681.0, ,10.7, ,85.9, ,50.5,K,69.2,K,73.0, ,26.0, ,44.0,K,45.9,K,2.6,K,64.6, ,2024
15,Stratford,San Joaquin Valley,Jun 2024,7.81,K,0.0, ,698.0, ,13.2,K,95.8, ,60.9,K,79.9,K,62.0, ,24.0, ,38.0,K,51.4,K,2.0,K,70.4, ,2024
15,Stratford,San Joaquin Valley,Jul 2024,8.6,K,0.0,K,674.0,K,16.9,K,102.5,K,67.8,K,86.2,K,65.0,K,24.0,K,40.0,K,58.6,K,2.9,K,76.8,K,2024
15,Stratford,San Joaquin Valley,Aug 2024,8.53, ,0.0, ,611.0, ,14.1, ,96.6,K,62.6, ,80.7, ,66.0, ,25.0, ,39.0, ,53.5, ,5.2, ,74.5, ,2024
15,Stratford,San Joaquin Valley,Sep 2024,6.46, ,0.02, ,496.0, ,13.0, ,93.7,K,58.8, ,76.2, ,68.0, ,26.0, ,43.0, ,51.4, ,4.5, ,71.0, ,2024
15,Stratford,San Joaquin Valley,Oct 2024,4.7,K,0.0,K,379.0,K,11.0,K,85.7,K,51.9,K,68.3,K,71.0,K,28.0,K,46.0,K,46.2,K,4.3,K,66.4,K,2024
15,Stratford,San Joaquin Valley,Nov 2024,2.3, ,0.04,K,251.0, ,8.3, ,65.9,K,38.0,K,51.3, ,85.0, ,45.0, ,65.0, ,38.9, ,4.1, ,56.7, ,2024
15,Stratford,San Joaquin Valley,Dec 2024,1.2, ,0.77, ,180.0, ,10.3, ,60.1, ,38.5, ,47.9, ,99.0, ,68.0, ,90.0, ,45.0, ,3.6,K,54.2, ,2024
15,Stratford,San Joaquin Valley,Jan 2025,2.03, ,0.23, ,263.0, ,7.5, ,62.0, ,31.2, ,45.4, ,95.0, ,46.0, ,72.0, ,36.9, ,3.6, ,50.5, ,2025
35,Bishop,Bishop,Jan 2024,2.0, ,0.09, ,238.0, ,4.1,K,57.1, ,23.9,K,39.8,K,77.0, ,26.0, ,49.0,K,21.6,K,3.6,K,39.9, ,2024
35,Bishop,Bishop,Feb 2024,2.56,K,4.15, ,329.0,K,5.1,K,56.4, ,26.2, ,40.9, ,88.0, ,33.0, ,59.0,K,27.1,K,4.1,K,42.0, ,2024
35,Bishop,Bishop,Mar 2024,4.47,K,0.39,K,455.0,K,4.4, ,62.7, ,29.8, ,46.8, ,74.0, ,21.0, ,41.0, ,23.8, ,4.5, ,46.0, ,2024
35,Bishop,Bishop,Apr 2024,6.36, ,0.0, ,633.0,K,5.4, ,73.2, ,34.1,K,55.4,K,73.0, ,18.0, ,35.0,K,28.2,K,4.3,K,53.0, ,2024
35,Bishop,Bishop,May 2024,7.61, ,0.0,K,702.0,K,6.6,K,81.1, ,40.1,K,63.0,K,70.0,K,18.0,K,33.0, ,33.2, ,3.7,K,58.8,K,2024
35,Bishop,Bishop,Jun 2024,7.97,K,0.06, ,697.0, ,10.7,K,93.0, ,50.4,K,73.9, ,74.0, ,19.0, ,37.0,K,45.6,K,2.8,K,65.6, ,2024
35,Bishop,Bishop,Jul 2024,7.65,K,0.06, ,641.0, ,13.3, ,97.2,K,54.1, ,76.8, ,77.0, ,22.0, ,42.0, ,51.7, ,2.3, ,68.6, ,2024
35,Bishop,Bishop,Aug 2024,7.28,K,0.0, ,625.0,K,10.4, ,93.4, ,49.2,K,72.4,K,74.0, ,19.0, ,37.0,K,44.6,K,2.6, ,67.1, ,2024
35,Bishop,Bishop,Sep 2024,5.34,K,0.0,K,500.0,K,8.7,K,88.7,K,42.1, ,65.2,K,80.0,K,19.0,K,41.0, ,40.5, ,2.5,K,62.3,K,2024
35,Bishop,Bishop,Oct 2024,3.83, ,0.0, ,368.0, ,6.4, ,80.7, ,35.4,K,56.1,K,78.0,K,16.0,K,40.0, ,31.9, ,2.6,K,56.7, ,2024
35,Bishop,Bishop,Nov 2024,2.23,K,0.98, ,273.0, ,3.7,K,60.1,K,23.4, ,40.3, ,74.0, ,20.0, ,43.0,K,18.8,K,2.9, ,45.7, ,2024
35,Bishop,Bishop,Dec 2024,1.84, ,0.0, ,229.0, ,3.9, ,61.9, ,22.9, ,39.6,K,80.0, ,20.0, ,47.0,K,20.8,K,2.6, ,40.2, ,2024
35,Bishop,Bishop,Jan 2025,2.21,K,0.14, ,274.0,K,2.8, ,57.4, ,20.4,K,37.9, ,67.0, ,18.0, ,37.0, ,12.7, ,3.6,K,38.8, ,2025
39,Parlier,San Joaquin Valley,Jan 2024,1.27, ,1.19,K,188.0, ,10.6, ,59.0,K,41.4,K,49.2,K,99.0, ,67.0, ,87.0,K,45.5,K,2.8, ,52.3,K,2024
39,Parlier,San Joaquin Valley,Feb 2024,2.08,K,3.44,K,295.0, ,10.9, ,63.5, ,42.6,K,52.0, ,99.0, ,57.0, ,82.0, ,46.6, ,3.4,K,54.9, ,2024
39,Parlier,San Joaquin Valley,Mar 2024,3.74, ,1.83, ,435.0,K,10.8, ,67.7, ,44.1, ,55.2, ,97.0, ,46.0, ,73.0, ,46.4, ,3.9,K,59.1, ,2024
39,Parlier,San Joaquin Valley,Apr 2024,5.18,K,1.13, ,560.0,K,12.3,K,74.5, ,48.1, ,60.7,K,95.0, ,42.0, ,68.0,K,49.7,K,3.9, ,64.0, ,2024
39,Parlier,San Joaquin Valley,May 2024,7.47, ,0.34,K,688.0,K,12.6,K,84.1, ,52.6,K,68.8,K,89.0,K,29.0,K,52.0,K,50.4,K,4.0,K,71.3,K,2024
39,Parlier,San Joaquin Valley,Jun 2024,8.54,K,0.0,K,708.0,K,14.6,K,95.0, ,61.8,K,79.1,K,76.0,K,24.0,K,43.0,K,54.1,K,4.4,K,76.7, ,2024
39,Parlier,San Joaquin Valley,Jul 2024,8.8, ,0.0, ,670.0, ,18.5, ,102.8,K,67.9,K,84.8,K,79.0, ,23.0, ,45.0,K,61.1,K,3.9, ,82.0, ,2024
39,Parlier,San Joaquin Valley,Aug 2024,7.7, ,0.0, ,615.0,K,15.5, ,96.8,K,61.9, ,79.2, ,80.0, ,23.0, ,45.0, ,56.0, ,3.8,K,79.0, ,2024
39,Parlier,San Joaquin Valley,Sep 2024,5.78, ,0.07,K,520.0,K,15.4,K,93.2, ,58.4, ,74.5,K,86.0,K,26.0,K,53.0, ,55.9, ,3.1,K,76.0,K,2024
39,Parlier,San Joaquin Valley,Oct 2024,4.02, ,0.0,K,395.0,K,13.2,K,84.8,K,51.3,K,66.2,K,88.0,K,31.0,K,59.0,K,51.3,K,2.8,K,70.2,K,2024
39,Parlier,San Joaquin Valley,Nov 2024,1.9, ,1.94,K,248.0,K,9.3, ,64.7, ,39.5,K,50.6, ,93.0, ,48.0, ,74.0, ,42.1, ,2.9,K,58.0, ,2024
39,Parlier,San Joaquin Valley,Dec 2024,1.02, ,1.1, ,164.0, ,10.5, ,59.6,K,40.6, ,48.6, ,99.0, ,69.0, ,90.0, ,45.8, ,2.8,K,54.2, ,2024
39,Parlier,San Joaquin Valley,Jan 2025,1.86,K,0.24, ,272.0, ,8.0, ,61.3, ,33.4, ,45.2, ,97.0, ,48.0, ,78.0, ,38.5, ,2.6, ,50.1, ,2025
41,Calipatria/Mulberry,Imperial/Coachella Valley,Jan 2024,2.34, ,0.92, ,287.0,K,9.1,K,69.7, ,38.1,K,52.1, ,93.0, ,35.0, ,67.0,K,40.8,K,3.3,K,39.5,K,2024
41,Calipatria/Mulberry,Imperial/Coachella Valley,Feb 2024,3.18, ,0.54, ,375.0,K,10.4, ,72.8, ,43.5, ,56.9, ,96.0, ,36.0, ,65.0, ,45.1, ,3.6, ,42.3,K,2024
41,Calipatria/Mulberry,Imperial/Coachella Valley,Mar 2024,5.37, ,0.15, ,497.0,K,9.6, ,76.7, ,46.0, ,60.9, ,86.0, ,27.0, ,53.0, ,43.0, ,5.0,K,50.0,K,2024
41,Calipatria/Mulberry,Imperial/Coachella Valley,Apr 2024,7.18, ,0.01, ,642.0,K,9.7, ,86.1, ,48.5,K,67.5, ,76.0, ,19.0, ,42.0, ,43.4, ,5.3,K,57.5,K,2024
41,Calipatria/Mulberry,Imperial/Coachella Valley,May 2024,8.42, ,0.0,K,658.0,K,11.0,K,94.5, ,56.3, ,76.0,K,70.0,K,16.0,K,36.0, ,46.6, ,4.6,K,66.5,K,2024
41,Calipatria/Mulberry,Imperial/Coachella Valley,Jun 2024,9.16, ,0.0, ,697.0,K,15.8, ,105.2, ,68.6, ,87.2, ,62.0, ,18.0, ,36.0, ,56.3, ,4.7, ,75.3,K,2024
41,Calipatria/Mulberry,Imperial/Coachella Valley,Jul 2024,9.78, ,0.01, ,644.0, ,20.8,K,110.5, ,78.5, ,94.0, ,61.0, ,21.0, ,38.0,K,63.8,K,5.7, ,79.8,K,2024
41,Calipatria/Mulberry,Imperial/Coachella Valley,Aug 2024,9.43, ,0.0, ,598.0, ,17.5,K,108.2,K,77.2, ,93.1,K,57.0, ,18.0, ,33.0,K,58.5,K,5.6,K,77.3,K,2024
41,Calipatria/Mulberry,Imperial/Coachella Valley,Sep 2024,7.8, ,0.0,K,547.0,K,12.9,K,105.1,K,70.2, ,87.3,K,57.0,K,13.0,K,29.0,K,50.6,K,4.5,K,70.4,K,2024
41,Calipatria/Mulberry,Imperial/Coachella Valley,Oct 2024,5.59,K,0.0,K,436.0,K,11.3,K,96.4,K,61.1, ,77.4,K,64.0,K,15.0,K,36.0,K,47.2,K,3.9,K,62.9,K,2024
41,Calipatria/Mulberry,Imperial/Coachella Valley,Nov 2024,3.45,K,0.0,K,339.0,K,7.3,K,76.1, ,42.3,K,58.1,K,76.0,K,20.0,K,44.0,K,35.8,K,4.0,K,47.3,K,2024
