Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (in),qc,Total Precip (in),qc.1,Avg Sol Rad (Ly/day),qc.2,Avg Vap Pres (mBars),qc.3,Avg Max Air Temp (F),qc.4,Avg Min Air Temp (F),qc.5,Avg Air Temp (F),qc.6,Avg Max Rel Hum (%),qc.7,Avg Min Rel Hum (%),qc.8,Avg Rel Hum (%),qc.9,Avg Dew Point (F),qc.10,Avg Wind Speed (mph),qc.11,Avg Soil Temp (F),qc.12,month,year,slope
44,U.C. Riverside,Los Angeles Basin,Sep 2014,6.19, ,1.45, ,538.0,K,14.7, ,91.6, ,64.6,L,76.7,K,72.0,K,27.0,K,48.0,K,54.6,K,3.8, ,73.4, ,September,2014,-3.9
44,U.C. Riverside,Los Angeles Basin,Oct 2014,4.52, ,0.0, ,419.0,K,11.6,K,84.9, ,57.7, ,69.8, ,71.0, ,26.0, ,49.0,K,47.5,K,3.3, ,67.4, ,October,2014,-3.9
44,U.C. Riverside,Los Angeles Basin,Nov 2014,3.21, ,0.2, ,297.0,K,7.5, ,75.0,K,49.7,K,62.2,K,61.0, ,25.0, ,41.0,K,34.4,K,3.6,K,59.4, ,November,2014,-3.9
44,U.C. Riverside,Los Angeles Basin,Jul 2016,7.74, ,0.0, ,596.0, ,14.3,K,93.5,K,64.2, ,77.5,K,73.0, ,25.0, ,45.0,K,53.8,K,4.2, ,75.9, ,July,2016,-3.825
44,U.C. Riverside,Los Angeles Basin,Aug 2016,6.88, ,0.0, ,531.0, ,14.4,K,92.6, ,63.6, ,76.5, ,74.0, ,25.0, ,47.0,K,54.0,K,4.0, ,75.4, ,August,2016,-3.825
44,U.C. Riverside,Los Angeles Basin,Sep 2016,5.3, ,0.0, ,431.0, ,12.6,K,87.9,K,60.8, ,72.9, ,71.0, ,27.0, ,47.0,K,50.1,K,4.0,K,71.5, ,September,2016,-3.825
44,U.C. Riverside,Los Angeles Basin,Oct 2016,3.87,K,0.87,K,329.0,K,11.2,K,80.7,K,56.6,K,67.7,K,70.0,L,31.0,L,51.0,L,45.9,L,3.5,K,66.4,K,October,2016,-3.825
44,U.C. Riverside,Los Angeles Basin,Nov 2016,3.18, ,1.06, ,271.0, ,7.3, ,76.2, ,50.2,K,62.2,K,61.0, ,22.0, ,40.0,K,35.1,K,3.7,K,59.7, ,November,2016,-3.825
44,U.C. Riverside,Los Angeles Basin,Jul 2018,8.04,K,0.04,K,651.0,K,17.7,K,95.8,L,67.7,K,80.8,K,78.0,K,31.0,K,50.0,K,59.8,K,4.1, ,78.8, ,July,2018,-4.875
44,U.C. Riverside,Los Angeles Basin,Aug 2018,7.35, ,0.0, ,601.0, ,17.6,K,92.8, ,66.3, ,78.2, ,81.0, ,32.0, ,54.0,K,59.8,K,3.9, ,77.8, ,August,2018,-4.875
44,U.C. Riverside,Los Angeles Basin,Sep 2018,5.86, ,0.0, ,518.0, ,15.7, ,90.1, ,60.8, ,73.5, ,84.0, ,31.0, ,56.0, ,56.3, ,3.7, ,73.8, ,September,2018,-4.875
44,U.C. Riverside,Los Angeles Basin,Oct 2018,4.3, ,0.96,K,406.0,K,12.4,K,80.3,K,56.7, ,67.5, ,79.0, ,33.0, ,55.0,K,48.4,K,4.0,K,68.2, ,October,2018,-4.875
44,U.C. Riverside,Los Angeles Basin,Nov 2018,3.13, ,0.84,K,316.0,K,7.9, ,74.4, ,49.5, ,61.3, ,66.0, ,26.0, ,44.0, ,35.3, ,3.4,K,59.3, ,November,2018,-4.875
44,U.C. Riverside,Los Angeles Basin,Jul 2020,8.17, ,0.0, ,701.0,K,14.4,K,91.6, ,61.6, ,75.5, ,79.0, ,26.0, ,49.0,K,54.1,K,3.9, ,77.1,K,July,2020,-3.775
44,U.C. Riverside,Los Angeles Basin,Aug 2020,7.74, ,0.0, ,625.0,K,16.4,K,95.9,K,66.4,K,79.8,K,75.0, ,27.0, ,48.0,K,57.5,K,3.9,K,77.2, ,August,2020,-3.775
44,U.C. Riverside,Los Angeles Basin,Sep 2020,6.33,K,0.0, ,514.0, ,13.2,K,95.1,K,62.8,K,77.7,K,71.0, ,21.0, ,43.0,L,51.2,L,3.5,K,73.0, ,September,2020,-3.775
44,U.C. Riverside,Los Angeles Basin,Oct 2020,4.81,K,0.0, ,416.0,K,11.0,K,86.4, ,59.0,K,71.6,K,68.0,K,25.0,K,44.0,K,44.8,K,3.8,K,68.4, ,October,2020,-3.775
44,U.C. Riverside,Los Angeles Basin,Nov 2020,3.22,K,0.01, ,329.0,K,7.4, ,75.1,K,47.5, ,60.4,K,69.0, ,23.0, ,42.0,K,35.1,K,3.5,K,58.5, ,November,2020,-3.775
44,U.C. Riverside,Los Angeles Basin,Jul 2022,8.15, ,0.0, ,697.0,K,15.6, ,91.1, ,63.6, ,76.0, ,80.0, ,29.0, ,51.0, ,56.3, ,4.2, ,72.8, ,July,2022,-5.025
44,U.C. Riverside,Los Angeles Basin,Aug 2022,7.86,K,0.0, ,627.0, ,15.4, ,94.3, ,66.8, ,79.3, ,72.0, ,27.0, ,46.0, ,55.8, ,3.9, ,73.3, ,August,2022,-5.025
44,U.C. Riverside,Los Angeles Basin,Sep 2022,5.74,K,0.81, ,501.0,K,17.4,K,92.0, ,66.8,K,77.6,K,80.0,K,33.0,K,55.0,K,59.1,K,3.6,K,75.8, ,September,2022,-5.025
44,U.C. Riverside,Los Angeles Basin,Oct 2022,3.87, ,0.28, ,399.0,K,14.2, ,80.9, ,57.0, ,67.3, ,89.0, ,37.0, ,62.0, ,52.4, ,3.3, ,69.3, ,October,2022,-5.025
44,U.C. Riverside,Los Angeles Basin,Nov 2022,2.97, ,1.22,K,335.0,K,6.7, ,68.4, ,44.2, ,55.9, ,69.0, ,26.0, ,45.0, ,31.7, ,4.0,K,57.6, ,November,2022,-5.025
44,U.C. Riverside,Los Angeles Basin,Jul 2024,8.05,K,0.0, ,655.0, ,17.7,K,95.1, ,65.4, ,79.4, ,80.0, ,31.0, ,52.0,K,59.9,K,3.8,K,75.2, ,July,2024,-5.35
44,U.C. Riverside,Los Angeles Basin,Aug 2024,7.62, ,0.0, ,614.0, ,16.4, ,94.4, ,63.8, ,77.9, ,79.0, ,29.0, ,51.0, ,57.7, ,3.9, ,71.9, ,August,2024,-5.35
44,U.C. Riverside,Los Angeles Basin,Sep 2024,5.49,K,0.25,K,483.0,K,15.9,K,89.9,K,62.0,K,74.2,K,81.0,K,34.0,K,58.0,K,57.0,K,3.5,K,72.9,K,September,2024,-5.35
44,U.C. Riverside,Los Angeles Basin,Oct 2024,4.45, ,0.0,K,397.0,K,12.5,K,86.0, ,56.6, ,69.6,K,77.0,K,28.0,K,51.0, ,49.5, ,3.4,K,67.7,K,October,2024,-5.35
44,U.C. Riverside,Los Angeles Basin,Nov 2024,3.1,K,0.22,K,307.0,K,7.4,K,71.6, ,45.8, ,58.0,K,71.0,K,25.0,K,46.0,K,35.2,K,3.8,K,56.8,K,November,2024,-5.35
78,Pomona,Los Angeles Basin,Jul 2010,5.9,K,0.1, ,612.0, ,17.8, ,82.4,K,59.4,K,69.3,K,90.0,K,53.0,K,73.0, ,60.1, ,2.7,K,76.6,K,July,2010,-3.5
78,Pomona,Los Angeles Basin,Aug 2010,6.45, ,0.0, ,608.0, ,15.7, ,86.6,K,57.6, ,71.1, ,87.0, ,38.0, ,62.0, ,56.6, ,2.4,K,74.8, ,August,2010,-3.5
78,Pomona,Los Angeles Basin,Sep 2010,4.81, ,0.01, ,481.0, ,15.0, ,86.2,K,55.9,K,69.7,K,87.0,K,40.0,K,62.0, ,55.3, ,2.2,K,71.6, ,September,2010,-3.5
78,Pomona,Los Angeles Basin,Oct 2010,2.41, ,1.22, ,292.0,K,15.3,K,74.1,K,55.1,K,63.2, ,92.0, ,59.0, ,77.0,K,55.3,K,2.1,K,69.0, ,October,2010,-3.5
78,Pomona,Los Angeles Basin,Nov 2010,2.33,K,1.34, ,300.0,K,9.4, ,71.0,K,43.7,K,56.2,K,86.0,K,37.0,K,61.0, ,41.8, ,2.1, ,59.7, ,November,2010,-3.5
78,Pomona,Los Angeles Basin,Jul 2012,6.43, ,0.01, ,616.0, ,17.6,K,86.1,K,58.7, ,71.0, ,91.0, ,45.0, ,68.0,K,59.7,K,2.6,K,72.7, ,July,2012,-3.55
78,Pomona,Los Angeles Basin,Aug 2012,6.41, ,0.01, ,568.0, ,19.4, ,91.8, ,64.2,K,76.9, ,87.0, ,41.0, ,62.0, ,62.6, ,2.5,K,75.5, ,August,2012,-3.55
78,Pomona,Los Angeles Basin,Sep 2012,5.12,K,0.01, ,481.0, ,17.4,K,90.7, ,60.7,K,74.4, ,88.0, ,37.0, ,60.0,K,59.3,K,2.2,K,75.6, ,September,2012,-3.55
78,Pomona,Los Angeles Basin,Oct 2012,3.49,K,0.2, ,374.0, ,14.3, ,80.9,K,54.5, ,66.2, ,88.0, ,43.0, ,66.0, ,53.5, ,2.1,K,70.6, ,October,2012,-3.55
78,Pomona,Los Angeles Basin,Nov 2012,2.11, ,1.25,K,269.0,K,11.7,K,72.8,K,46.9,K,58.6, ,90.0, ,47.0, ,70.0,K,47.6,K,2.0, ,63.3,K,November,2012,-3.55
78,Pomona,Los Angeles Basin,Jul 2014,6.7, ,0.01, ,615.0, ,18.2, ,89.1,K,63.1, ,74.9, ,90.0, ,40.0, ,62.0, ,60.7, ,2.6, ,74.0, ,July,2014,-3.9
78,Pomona,Los Angeles Basin,Aug 2014,6.33,K,0.04, ,582.0, ,17.9,K,89.2, ,61.8,K,74.2, ,91.0, ,38.0, ,62.0,K,60.2,K,2.4, ,73.9, ,August,2014,-3.9
78,Pomona,Los Angeles Basin,Sep 2014,5.21,K,0.03, ,492.0, ,17.3, ,89.9,K,62.0,K,74.9,K,87.0,K,37.0,K,59.0,K,59.2,K,2.3, ,73.1, ,September,2014,-3.9
78,Pomona,Los Angeles Basin,Oct 2014,3.75, ,0.11, ,383.0, ,14.4,K,84.2, ,55.9, ,68.5, ,90.0, ,36.0, ,62.0,K,53.6,K,2.1, ,67.5, ,October,2014,-3.9
78,Pomona,Los Angeles Basin,Nov 2014,2.35, ,0.93, ,277.0, ,9.8, ,75.9,K,48.6,K,60.9,K,81.0, ,33.0, ,55.0,K,42.3,K,2.0, ,60.1, ,November,2014,-3.9
78,Pomona,Los Angeles Basin,Jul 2016,7.08,K,0.0, ,640.0, ,17.9, ,92.8,K,62.3, ,76.1,K,91.0, ,33.0, ,59.0,K,60.2,K,2.1,K,77.1, ,July,2016,-3.825
78,Pomona,Los Angeles Basin,Aug 2016,6.1,K,0.0, ,558.0, ,17.9,K,90.1, ,61.1, ,74.1, ,92.0, ,37.0, ,62.0,K,60.2,K,2.3,K,74.7, ,August,2016,-3.825
78,Pomona,Los Angeles Basin,Sep 2016,4.64,K,0.01, ,453.0, ,15.4,K,87.3,K,58.7,K,71.6,K,88.0,K,36.0,K,59.0,K,55.6,K,2.1, ,71.1, ,September,2016,-3.825
78,Pomona,Los Angeles Basin,Oct 2016,3.39,K,0.51,K,352.0,K,13.4,K,81.4,K,53.7,K,66.6,K,89.0,L,37.0,L,61.0,L,51.2,L,1.9,K,65.2,K,October,2016,-3.825
78,Pomona,Los Angeles Basin,Nov 2016,2.44,K,0.89, ,282.0, ,9.8, ,77.8,K,48.5,K,61.3,K,85.0,K,30.0,K,55.0,K,43.1,K,1.8, ,60.0, ,November,2016,-3.825
78,Pomona,Los Angeles Basin,Jul 2018,7.8,K,0.02, ,652.0, ,18.8,K,92.5,L,66.5,K,77.6,L,84.0,K,37.0,K,59.0,L,62.0,L,4.5,K,77.8, ,July,2018,-4.875
78,Pomona,Los Angeles Basin,Aug 2018,7.08, ,0.04, ,606.0, ,18.9, ,90.1, ,64.7, ,76.3,K,89.0, ,38.0, ,61.0,K,61.7,K,3.9,K,76.6, ,August,2018,-4.875
78,Pomona,Los Angeles Basin,Sep 2018,5.57,K,0.03, ,533.0,K,16.8,K,86.8, ,58.8, ,71.2, ,91.0, ,39.0, ,65.0,K,58.2,K,3.6,K,73.2, ,September,2018,-4.875
78,Pomona,Los Angeles Basin,Oct 2018,3.75, ,1.03, ,389.0,K,13.8, ,79.8, ,54.9,K,66.2, ,91.0, ,39.0, ,63.0, ,52.2, ,3.2,K,68.0, ,October,2018,-4.875
78,Pomona,Los Angeles Basin,Nov 2018,2.76, ,1.54, ,309.0,K,9.4,K,74.9, ,46.8, ,59.7, ,81.0, ,31.0, ,54.0,K,41.3,K,2.9,K,61.3, ,November,2018,-4.875
78,Pomona,Los Angeles Basin,Jul 2020,7.67,K,0.53,K,708.0,K,16.6, ,87.6, ,59.2, ,72.6, ,90.0, ,39.0, ,61.0, ,58.2, ,3.8,K,72.8, ,July,2020,-3.775
78,Pomona,Los Angeles Basin,Aug 2020,7.22,K,0.0, ,627.0,K,18.5,K,91.5,K,62.6,K,76.0,K,88.0, ,39.0, ,60.0,K,61.0,K,3.6, ,73.5, ,August,2020,-3.775
78,Pomona,Los Angeles Basin,Sep 2020,5.64,K,0.0, ,493.0, ,15.1,K,91.6,K,60.3,K,74.4,K,83.0,K,29.0,K,54.0,L,55.0,L,3.3, ,70.7, ,September,2020,-3.775
78,Pomona,Los Angeles Basin,Oct 2020,4.18, ,0.0, ,388.0,K,12.6, ,84.8, ,56.6, ,69.5,K,79.0, ,31.0, ,52.0,K,49.5,K,3.2,K,67.6, ,October,2020,-3.775
78,Pomona,Los Angeles Basin,Nov 2020,2.82,K,0.36, ,312.0,K,8.0, ,74.0,K,45.4, ,57.9,K,74.0, ,27.0, ,49.0,K,37.6,K,3.0,K,58.9, ,November,2020,-3.775
78,Pomona,Los Angeles Basin,Jul 2022,7.71, ,0.41, ,683.0,K,17.1, ,88.0, ,62.1, ,73.4, ,88.0, ,38.0, ,61.0, ,58.9, ,4.6,K,72.2, ,July,2022,-5.025
78,Pomona,Los Angeles Basin,Aug 2022,7.44, ,0.33,K,625.0,K,17.3,K,91.9, ,64.1, ,76.8,K,84.0,K,33.0,K,56.0, ,59.2, ,4.1,K,72.7,K,August,2022,-5.025
78,Pomona,Los Angeles Basin,Sep 2022,5.65,K,1.27,K,507.0,K,18.4,K,90.5, ,64.3,K,76.5,K,86.0,K,38.0,K,60.0,K,60.7,K,3.8,K,72.8, ,September,2022,-5.025
78,Pomona,Los Angeles Basin,Oct 2022,3.7, ,0.76, ,385.0,K,15.3, ,80.1, ,56.6, ,66.8, ,91.0, ,44.0, ,68.0, ,55.1, ,3.6,K,68.8, ,October,2022,-5.025
78,Pomona,Los Angeles Basin,Nov 2022,2.59, ,3.12,K,327.0,K,8.0, ,70.0, ,42.9, ,55.2, ,85.0, ,30.0, ,54.0, ,37.2, ,3.3,K,56.1, ,November,2022,-5.025
78,Pomona,Los Angeles Basin,Jul 2024,7.24,K,0.02, ,678.0,K,18.7, ,91.1, ,63.0,K,75.9,K,88.0, ,40.0, ,62.0,K,61.4,K,2.4, ,75.4, ,July,2024,-5.35
78,Pomona,Los Angeles Basin,Aug 2024,6.95,K,0.87, ,623.0, ,16.9, ,93.6,K,62.8, ,77.0,K,81.0, ,32.0, ,54.0,K,58.7,K,2.2, ,75.3, ,August,2024,-5.35
78,Pomona,Los Angeles Basin,Sep 2024,5.08,K,0.81,K,488.0,K,16.1,K,89.8,K,60.8,K,73.8,K,81.0,K,37.0,K,58.0,K,57.3,K,2.1,K,72.8,K,September,2024,-5.35
78,Pomona,Los Angeles Basin,Oct 2024,3.83, ,1.04, ,389.0, ,13.5, ,85.2, ,55.3, ,68.7, ,81.0, ,33.0, ,56.0, ,51.6, ,1.9, ,67.2, ,October,2024,-5.35
78,Pomona,Los Angeles Basin,Nov 2024,2.43,K,1.26,K,300.0,K,8.2, ,73.8, ,44.9, ,58.4, ,75.0, ,28.0, ,49.0, ,38.1, ,1.8, ,54.7,K,November,2024,-5.35
99,Santa Monica,Los Angeles Basin,Jul 2010,5.08,K,0.0, ,525.0, ,16.7, ,72.8,K,60.9,K,65.8,K,85.0,K,68.0,K,77.0, ,58.4, ,4.0, ,69.5,K,July,2010,-3.5
99,Santa Monica,Los Angeles Basin,Aug 2010,5.89, ,0.0, ,593.0, ,16.1,K,74.3, ,59.4, ,65.7, ,84.0, ,63.0, ,75.0,K,57.4,K,3.8, ,69.3,K,August,2010,-3.5
99,Santa Monica,Los Angeles Basin,Sep 2010,4.3,K,0.0, ,466.0, ,15.6,L,74.6,K,59.1,K,66.4,K,83.0,K,57.0,K,72.0,L,56.5,L,3.6, ,67.1,K,September,2010,-3.5
99,Santa Monica,Los Angeles Basin,Oct 2010,2.72, ,0.11, ,285.0, ,15.0, ,72.7, ,59.6,K,64.9, ,82.0, ,61.0, ,72.0, ,54.7, ,3.6,K,65.3, ,October,2010,-3.5
99,Santa Monica,Los Angeles Basin,Nov 2010,2.04,K,0.6,K,290.0,L,10.0,L,65.9,K,49.1,L,59.8,L,81.0,K,48.0,K,64.0,L,44.9,L,4.3,K,57.8,L,November,2010,-3.5
99,Santa Monica,Los Angeles Basin,Jul 2012,5.26,K,0.24, ,587.0, ,19.4,K,71.3,K,58.3, ,64.3, ,100.0, ,83.0, ,94.0,K,62.5,K,3.0,K,70.5,K,July,2012,-3.55
99,Santa Monica,Los Angeles Basin,Aug 2012,5.87,K,0.2, ,572.0, ,19.3,K,78.4, ,62.2,K,69.8, ,90.0, ,64.0, ,78.0,K,62.4,K,3.6,K,72.9, ,August,2012,-3.55
99,Santa Monica,Los Angeles Basin,Sep 2012,4.73,K,0.25, ,484.0, ,18.0, ,79.8,K,62.3,K,70.2,K,85.0,K,58.0,K,72.0, ,60.3, ,3.6, ,71.8, ,September,2012,-3.55
99,Santa Monica,Los Angeles Basin,Oct 2012,3.61,K,0.09, ,369.0, ,14.4, ,76.2,K,58.3, ,66.9,K,80.0,K,52.0,K,65.0, ,53.5, ,3.1,K,66.8, ,October,2012,-3.55
99,Santa Monica,Los Angeles Basin,Nov 2012,2.06,K,1.16, ,261.0,K,11.8, ,69.4,K,51.8,K,60.5,K,80.0,K,55.0,K,67.0, ,47.7, ,1.7,K,60.8, ,November,2012,-3.55
99,Santa Monica,Los Angeles Basin,Jul 2014,5.84, ,0.0, ,583.0, ,19.8, ,76.9,K,63.6, ,69.4,K,89.0, ,70.0, ,81.0,K,63.2,K,4.0, ,72.3, ,July,2014,-3.9
99,Santa Monica,Los Angeles Basin,Aug 2014,5.79, ,0.01, ,573.0, ,19.5,K,76.8, ,62.3,K,69.2, ,88.0, ,70.0, ,80.0,K,62.8,K,3.8,K,72.3, ,August,2014,-3.9
99,Santa Monica,Los Angeles Basin,Sep 2014,4.95,K,0.0, ,502.0, ,19.6, ,79.1,L,63.2,L,70.4,L,88.0,K,62.0,K,77.0,L,62.7,L,3.8, ,71.3, ,September,2014,-3.9
99,Santa Monica,Los Angeles Basin,Oct 2014,3.96,K,0.33, ,394.0, ,16.1,K,78.2,K,59.8,L,68.2,K,85.0, ,56.0, ,70.0,K,57.1,K,3.7, ,66.9, ,October,2014,-3.9
99,Santa Monica,Los Angeles Basin,Nov 2014,3.1,K,0.31, ,295.0, ,10.5, ,74.8,K,55.3,K,64.9,K,72.0, ,39.0, ,52.0,K,44.0,K,3.8,K,61.4, ,November,2014,-3.9
99,Santa Monica,Los Angeles Basin,Jul 2016,6.08,K,0.06,L,638.0,L,20.2,L,78.2,L,63.1,L,70.1,L,88.0,L,70.0,L,81.0,L,63.8,L,4.2,L,73.1,L,July,2016,-3.825
99,Santa Monica,Los Angeles Basin,Aug 2016,5.84, ,0.07, ,592.0, ,19.6, ,75.7, ,61.3, ,68.0, ,89.0, ,73.0, ,84.0, ,62.9, ,4.0,K,72.2, ,August,2016,-3.825
99,Santa Monica,Los Angeles Basin,Sep 2016,4.88,K,0.02,L,507.0,K,17.4,L,77.5,K,60.8,K,69.0,K,84.0,K,60.0,K,76.0,L,59.9,L,4.0,L,69.3,K,September,2016,-3.825
99,Santa Monica,Los Angeles Basin,Oct 2016,3.77,K,0.14,L,380.0,K,14.4,L,75.4,L,58.4,L,65.7,L,87.0,L,51.0,L,70.0,L,54.4,L,3.4,K,64.9,L,October,2016,-3.825
99,Santa Monica,Los Angeles Basin,Nov 2016,3.21,K,1.05, ,328.0,K,9.6,K,74.4,K,55.5,K,64.2,K,71.0,K,31.0,K,50.0,L,42.1,L,3.9, ,59.5, ,November,2016,-3.825
99,Santa Monica,Los Angeles Basin,Jul 2018,6.37,K,0.01, ,650.0,K,20.1, ,77.8,L,64.8,L,70.5,L,94.0,K,64.0,K,81.0,L,63.9,L,4.0, ,72.8, ,July,2018,-4.875
99,Santa Monica,Los Angeles Basin,Aug 2018,6.19,K,0.0, ,604.0,K,20.3,K,79.7,K,64.5,K,71.3,K,93.0,K,62.0,K,78.0,K,63.8,K,3.9,K,73.3, ,August,2018,-4.875
99,Santa Monica,Los Angeles Basin,Sep 2018,4.41,K,0.0, ,488.0,K,18.2, ,74.6, ,61.0, ,66.9, ,94.0, ,66.0, ,81.0, ,60.7, ,3.6, ,70.1, ,September,2018,-4.875
99,Santa Monica,Los Angeles Basin,Oct 2018,3.88,K,0.02,K,407.0,K,14.8,K,74.7, ,58.4, ,65.6, ,90.0, ,53.0, ,70.0,K,53.8,K,3.6,K,65.9, ,October,2018,-4.875
99,Santa Monica,Los Angeles Basin,Nov 2018,2.99, ,2.01,K,316.0,K,10.4,K,73.3, ,54.1, ,63.1, ,78.0, ,35.0, ,55.0,K,42.6,K,3.5, ,61.6, ,November,2018,-4.875
99,Santa Monica,Los Angeles Basin,Jul 2020,6.28,K,0.0, ,659.0, ,17.9, ,74.1,K,59.2, ,65.9, ,97.0, ,67.0, ,83.0, ,60.3, ,3.6, ,70.1, ,July,2020,-3.775
99,Santa Monica,Los Angeles Basin,Aug 2020,5.87,K,0.0, ,587.0, ,20.0,K,78.3,L,63.0,K,69.7,K,98.0,K,63.0,K,81.0,L,63.1,L,3.3,K,71.0, ,August,2020,-3.775
99,Santa Monica,Los Angeles Basin,Sep 2020,4.72,K,0.0, ,486.0, ,17.8,K,80.4,K,61.8,K,69.4,L,94.0,K,53.0,K,74.0,L,60.0,L,3.1,K,68.5, ,September,2020,-3.775
99,Santa Monica,Los Angeles Basin,Oct 2020,3.85,K,0.0,K,380.0,K,15.6,K,78.7,K,60.3, ,68.2,K,92.0, ,47.0, ,67.0,K,55.2,K,3.1,K,66.1, ,October,2020,-3.775
99,Santa Monica,Los Angeles Basin,Nov 2020,2.77,K,0.04, ,317.0,K,10.1, ,70.5,K,51.3,K,59.9,K,82.0,K,41.0,K,59.0,K,43.0,K,3.1, ,58.6, ,November,2020,-3.775
99,Santa Monica,Los Angeles Basin,Jul 2022,6.1,K,0.0, ,632.0, ,17.4, ,74.0,K,60.7, ,66.3, ,90.0, ,66.0, ,79.0, ,59.5, ,3.9, ,69.9, ,July,2022,-5.025
99,Santa Monica,Los Angeles Basin,Aug 2022,6.23,K,0.0, ,607.0, ,17.5,K,78.3,K,62.9,K,69.6,K,85.0,K,57.0,K,71.0,K,59.7,K,3.6, ,70.6, ,August,2022,-5.025
99,Santa Monica,Los Angeles Basin,Sep 2022,5.12,K,0.39, ,500.0,K,18.4,K,82.7,K,65.6,K,73.1,K,83.0,K,51.0,K,68.0,L,60.9,L,3.7,K,70.7, ,September,2022,-5.025
99,Santa Monica,Los Angeles Basin,Oct 2022,3.54, ,0.09, ,373.0,K,15.1, ,74.0,K,60.0,K,65.9,K,84.0, ,54.0, ,70.0,K,54.9,K,3.5, ,66.2, ,October,2022,-5.025
99,Santa Monica,Los Angeles Basin,Nov 2022,2.94, ,1.61,K,326.0,K,7.7,K,69.0, ,50.8, ,59.0, ,67.0, ,32.0, ,47.0,K,35.2,K,3.7, ,55.2,K,November,2022,-5.025
99,Santa Monica,Los Angeles Basin,Jul 2024,6.13, ,0.0, ,638.0, ,17.6,K,74.5, ,60.6,K,66.3, ,91.0, ,67.0, ,80.0,K,59.9,K,3.5, ,78.9,L,July,2024,-5.35
99,Santa Monica,Los Angeles Basin,Aug 2024,6.16, ,0.0, ,616.0, ,17.8, ,77.1, ,61.4, ,68.2, ,89.0, ,62.0, ,76.0, ,60.2, ,3.6, ,74.8,K,August,2024,-5.35
99,Santa Monica,Los Angeles Basin,Sep 2024,4.52,K,0.0,K,482.0,K,16.8,K,75.6,K,60.7,K,67.2,K,87.0,K,61.0,K,76.0,L,58.5,L,3.4,K,76.4,L,September,2024,-5.35
